Nr.,店名,中文店名,英文店名,类别,连锁,地址,城区
96,中华饭店/Zhong Hua,中华饭店,Zhong Hua,饭店,否,"Lindenstr. 29A, 10969 Berlin",Kreuzberg
97,包餃會/BaoGaoClub (Xberg),包餃會,Bao Gao Club (Xberg),小吃,是,"Markthalle Neun, Eisenbahnstr. 42-43, 10997 Berlin",Kreuzberg
98,年三十饺子/DumplingsNian,年三十饺子,Dumplings Nian,小吃,否,"Eisenbahnstr. 4, 10997 Berlin",Kreuzberg
99,一家小院/Yijan,一家小院,Yijan,小吃,否,"Oberbaumstr. 5, 10997 Berlin",Kreuzberg
100,Cha for Tee,Cha for Tee,Cha for Tee,小吃,否,"Friesenstr. 18, 10965 Berlin",Kreuzberg
101,陈记牛肉面馆/Chen'sNoodleHouse (Xberg),陈记牛肉面馆,Chen's Noodle House (Xberg),面馆,是,"Adalbertstr. 7, 10999 Berlin",Kreuzberg
102,Chungking Noodles,Chungking Noodles,Chungking Noodles,面馆,否,"Reichenberger Str. 35, 10999 Berlin",Kreuzberg
103,Wen Cheng (Xberg),Wen Cheng (Xberg),Wen Cheng (Xberg),面馆,是,"Spreewaldpl. 5, 10999 Berlin",Kreuzberg
104,Bang Bang Noodles (Xberg),Bang Bang Noodles (Xberg),Bang Bang Noodles (Xberg),面馆,是,"Mehringdamm 51, 10961 Berlin",Kreuzberg
105,遇见易拉面馆/YilaNudel,遇见易拉面馆,Yila Nudel,面馆,否,"Liegnitzer Str. 30, 10999 Berlin",Kreuzberg
106,N Noodles &Tea,N Noodles &Tea,N Noodles &Tea,面馆,否,"Gneisenaustr. 24, 10961 Berlin",Kreuzberg
107,The Noodle Town (Xberg),The Noodle Town (Xberg),The Noodle Town (Xberg),面馆,是,"Bergmannstr. 5, 10965 Berlin",Kreuzberg
108,张亮麻辣烫/Zhangliangminihotpot,张亮麻辣烫,Zhangliangminihotpot,麻辣烫/冒菜,否,"Friedrichstr. 217, 10969 Berlin",Kreuzberg
109,宴遇/MeetYou,宴遇,Meet You,饭店,否,"Fasanenstr. 41, 10719 Berlin",Wilmersdorf
110,王家一号/Feast,王家一号,Feast,饭店,否,"Meierottostr. 1, 10719 Berlin",Wilmersdorf
111,天府酒家/Tianfu,天府酒家,Tianfu,饭店,否,"Uhlandstr. 142, 10719 Berlin",Wilmersdorf
112,Mr. Liu,Mr. Liu,Mr. Liu,饭店,否,"Bundesallee 45, 10715 Berlin",Wilmersdorf
113,威玲Wiling,威玲,Wiling,饭店,否,"Bundespl. 12, 10715 Berlin",Wilmersdorf
114,恩典之家/Wunderbau,恩典之家,Wunderbau,饭店,否,"Bernhardstr. 12, 10715 Berlin",Wilmersdorf
115,聚友阁/Hot Spot,聚友阁,Hot Spot,饭店,否,"Eisenzahnstr. 66, 10709 Berlin",Wilmersdorf
116,Lychee,Lychee,Lychee,饭店,否,"Bayerische Str. 9, 10707 Berlin",Wilmersdorf
117,龙门/Lon-Min,龙门,Lon-Min,饭店,否,"Bamberger Str. 30, 10779 Berlin",Wilmersdorf
118,陈氏茶缘/Chen's Teehaus,陈氏茶缘,Chen's Teehaus,小吃,否,"Uhlandstr. 150, 10719 Berlin",Wilmersdorf
119,傻妞面馆/Shaniu's HouseofNoodles (Wilmersdorf),傻妞面馆,Shaniu's HouseofNoodles (Wilmersdorf),面馆,是,"Pariser Str. 58, 10719 Berlin",Wilmersdorf
120,想见面/Noodle Point,想见面,Noodle Point,面馆,否,"Uhlandstr. 142, 10719 Berlin",Wilmersdorf
121,吼堂火锅/Hou Tang Hotpot,吼堂火锅,Hou Tang Hotpot,火锅,否,"Kurfurstendamm 175, 10707 Berlin",Wilmersdorf
122,随园·听松/Ting Song Hotpot,随园·听松,Ting Song Hotpot,火锅,否,"Eisenzahnstr. 14, 10709 Berlin",Wilmersdorf
123,农夫乐/AsiaFarmhouse,农夫乐,Asia Farm house,小吃,否,"Pannierstr. 54, 12047 Berlin", Neukölln
